Product Code,Short Description,RRP,Price,Pack Size,MfrPartNum
2W05000,2WORK PLASTIC STEP STOOL BLUE,36.15,22.08,1,2W05000
2W05001,2WORK MINI 2 STEP LADDER,64.55,43.03,1,2W05001
2W05299,2WORK DISHWASHER TABLETS PK190,42.38,17.3,1,2W05299
2W05407,2WORK SPRAYDUSTER ZERO INVERT,11.09,6.13,1,2W05407
2W06003,2WORK ERASE ALL SPONGE,7.72,4.38,10,2W06003
2W06018,2WORK REFUSE SACK ROLL BLACK PK10X20,41.13,17.55,1,2W06018
2W06176,2WORK CAR SHAMPOO WITH WAX 5L,13.77,9.18,1,2W06176
2W06178,2WORK CAR INTERIOR TRIM SHINE 5L,18.17,12.12,1,2W06178
2W06180,2WORK CAR FRESHENER 5L,9.54,6.36,1,2W06180
2W06243,2WORK HARD WATER DISHWASH DETERGENT 5L,17.15,7.44,1,2W06243
2W06255,2WORK CLEAR REFUSE BAGS ROLL PK50X5,78.08,27.4,1,2W06255
2W06292,2WORK NEUTRAL FLOOR CLEANER 5L,10.53,5.89,1,2W06292
2W06293,2WORK DISHWASHING NEUTRAL DETERGENT 5LTR,8.64,4.57,1,2W06293
2W06294,2WORK WASHROOM CLEANER DESCALER 5L,13.21,5.88,1,2W06294
2W06296,2WORK ENZYME DRAIN CLEANER 5L,57.18,32.12,1,2W06296
2W06297,2WORK HEAVY DUTY TOILET CLEANER 1L PK12,67.76,28.68,1,2W06297
2W06302,2WORK PREMIUM RINSE AID 5L,19.04,6.83,1,2W06302
2W06303,2WORK EXTRACTION CARPET CLEANER 5L EACH,14.33,7.09,1,2W06303
2W06307,DOSE IT C2 FLOOR 1 LITRE PK8,38.79,29.1,1,122 EON
2W06309,DOSE IT C1 MULTI PURPOSE 1 LITRE PK8,38.79,29.1,1,381 EON
2W06354,2WORK CITRUS CLNR DEGREASER 5LITRE EACH,14.51,6.44,1,2W06354
2W06419,2WORK PELICAN PUMP PK6,27.37,12.02,1,2W06419
2W06438,2WORK TWIN TOILET ROLL SYSTEM DISPENSER,41.55,24.16,1,2W06438
2W06439,2WORK MICROTWIN TOILET TISSUE PK24 125M,54.89,21.14,1,2W06439
2W07136,2WORK PROTEC BARRIER CREAM 300ML P6,20.22,13.5,1,2W07136
2W07137,2WORK REPLENISHING H/CREAM 300ML P6,20.52,13.74,1,2W07137
2W07244,2WORK LIMESCALE REMOVER 750ML PK6,30.78,20.52,1,2W07244
2W07245,2WORK SPRAY WITH BLEACH 750ML PK6,25.8,17.16,1,2W07245
2W07246,2WORK URINE NEUTRALISER 750ML PK6,32.4,21.66,1,2W07246
2W07247,2WORK AIR FRESHENER 750ML PK6,31.5,21,1,2W07247
2W07248,2WORK AIR FRESHENER 750ML PK6,27.48,18.36,1,2W07248
2W07249,2WORK WASHROOM CLEANER 750ML PK6,23.94,15.96,1,2W07249
2W07250,2WORK KITCHEN DEGREASER 750ML PK6,27.48,18.36,1,2W07250
2W07251,2WORK FURNITURE POLISH 750ML PK6,27.48,18.36,1,2W07251
2W07252,2WORK CARPET STAIN REMOVER 750ML P6,31.38,20.94,1,2W07252
2W07253,2WORK OVEN CLEANER 750ML PK6,28.86,19.26,1,2W07253
2W07254,2WORK SPRAY SANITISER 750M PK6,28.26,18.84,1,2W07254
2W07255,2WORK MOULD/MILDEW CLEAN 750ML PK6,27.48,18.36,1,2W07255
2W07294,2WORK HAND SOAP 300ML PINK PK6,15.93,10.62,1,2W07294
2W07295,2WORK ANTIBACTERIAL SOAP 5 LITRES,10.9,7.27,1,2W07295
2W07385,2WORK VIRICIDAL WIPES PK100,5.2,2.45,1,2W07385
2W07558,2WORK PINK PEARL HAND SOAP 750ML,3.74,1.46,1,2W07558
2W08160,2WORK MED WEIGHT CLOTH 38X40CM BLUE PK5,3.4,2.27,1,2W08160
2W08161,2WORK MED WEIGHT CLOTH 38X40CM GREEN PK5,3.4,2.27,1,2W08161
2W08162,2WORK MED WEIGHT CLOTH 38X40CM RED PK5,3.4,2.27,1,2W08162
2W08163,2WORK MED WEIGHT CLOTH 38X40CM YLW,3.4,2.27,5,2W08163
2W08168,2WORK ECONOMY CLOTHS BLUE 42X35CM PK50,4.85,2.53,1,2W08168
2W08169,2WORK ECONOMY CLOTHS GREEN 42X35CM PK50,4.85,2.53,1,2W08169
2W08170,2WORK ECONOMY CLOTHS RED 42X35CM PK50,4.85,2.53,1,2W08170
2W08171,2WORK ECONOMY CLOTHS YELLOW 42X35CM PK50,4.85,2.53,1,2W08171
2W08257,2WORK 340G MULTI KENTUCKY MOP GREEN PK5,19.32,12.89,1,2W08257
2W22905,2WORK LUXURY PEARL HAND SOAP 300ML PK6,19.37,6.68,1,2W22905
2W22906,2WORK ALCOHOL HAND SANITISER 300ML PK6,27.82,11.09,1,2W22906
2W24703,2WORK PROBE WIPES ALCOHOL,4.53,1.94,1,2W24703
2W30037,2WORK ANTIBACTERIAL SOAP 300ML PK6,18.16,6.66,1,2W30037
2W31829,2WORK 70PCT ALC H/SANITISER GEL 5L,49.75,13.25,1,2W31829
2W50897,2WORK FLAMMABLE SPRAY DUSTER 400ML,16.45,9.11,1,2W50897
2W70063,2WORK CFOLD HAND TOWELS 2PLY WHTE PK2355,43.53,21.41,1,2W70063
2W70104,2WORK 1PLY BLUE I-FOLD 190X250MM PK3600,36.32,14.11,1,2W70104
2W70105,2WORK VFOLD HAND TOWELS 1PLY GRN PK3600,36.32,14.38,1,2W70105
2W70203,2WORK 2PLY JUMBO ROLL 410MX92MM PK6,35.63,12.9,1,2W70203
2W70323,2WORK 2PLY MINI JMBO ROLL 200MX92MM PK12,35.63,12.9,1,2W70323
2W70583,2WORK 1PLY WHITE M-FOLD PK3000 245X240MM,46.79,15.56,1,2W70583
2W70623,2WORK 2PLY HYGN ROLL WHT 500MM X 40M PK9,40.35,15.81,1,2W70623
2W70643,2WORK HIGH FOAM BACTERICIDAL SOAP 750ML,3.77,1.6,1,2W70643
2W70664,LEONARDO ZFOLD HAND TOWELS 2PLY WHT PK22,40.33,14.46,1,HTL003DS
2W70683,2WORK 2PLY HYGIENE ROLL 40MX250MM PK18,61.42,19.57,1,2W70683
2W70723,2WORK IFOLD HAND TOWELS 1PLY WHT PK3600,36.32,16.81,1,2W70723
2W71457,2WORK CATERING SANITISER 5 LITRE EACH,15.74,6.68,1,2W71457
2W71923,2WORK MFOLD HAND TOWELS 1PLY BLUE PK3000,46.79,15.85,1,2W71923
2W72375,2WORK LIQUID LAUNDRY DETERGENT 5L 405,25.53,11.58,1,2W72375
2W72391,2WORK FABRIC CONDITIONER AUTO DOSING 5L,10.47,4.7,1,2W72391
2W72467,2WORK SCREEN WASH ADDITIVE 5L 717,26.64,7.44,1,2W72467
2W72642,DOSE IT D1 CLEANER DEGREASER 1L,36.94,27.71,8,325
2W75442,2WORK CONCENTRATED BACTERICIDAL CLNR 5L,14.83,6.21,1,2W75442
2W75443,2WORK FRAGRANT SURFACE SANITISER 5L,12.27,6,1,2W75443
2W75995,2WORK HEAVY DUTY OVEN CLEANER 5L,18.47,8.98,1,2W75995
2W75996,2WORK LAUNDRY DESTAINING LIQUID 20L,57.62,38.42,1,2W75996
2W75999,2WORK DISHWASH DETERGENT 5L,11.88,5.53,1,2W75999
2W76000,2WORK ANTIBACTERIAL CLEANER 5L,17.54,10.07,1,2W76000
2W76001,2WORK GLASS CLEANER 5 LITRE,12.44,6.38,1,2W76001
2W76002,2WORK ACIDIC TOILET CLEANER 1 LITRE,3.65,1.76,1,2W76002
2W76003,2WORK BEER PIPELINE CLEANER 5L,10.38,6.93,1,2W76003
2W76004,2WORK DETERGENT DEGREASER 20 LITRE,45.85,30.6,1,2W76004
2W76008,2WORK CATERING DESCALER 5L,18.2,9.27,1,2W76008
2W76009,2WORK HAIR AND BODY WASH 5 LITRE,15.94,10.63,1,2W76009
2W76010,2WORK HAND SANITISER 5 LITRE GEL,44.79,14.45,1,2W76010
2W76011,2WORK HD BACTERICIDAL CLEANER 20L,61.64,25.72,1,2W76011
2W76013,2WORK WASHING UP LIQUID LEMON 5L,12.49,4.7,1,2W76013
2W76015,2WORK GLASSWASH MACHINE CLEANER 5L,11.99,4.96,1,2W76015
2W810010,2WORK SWING TOP BIN 10 LITRE BLACK,14.28,7.64,1,2W810010
2W810011,2WORK SWING TOP BIN 30 LITRE BLACK,15.5,8.31,1,2W810011
2W810012,2WORK SWING TOP BIN 50 LITRE BLACK,22.9,12.24,1,2W810012
2W85444,2WORK DISINFECTANT DEODORISER 5L,9.74,5.61,1,2W85444
2W90796,2WORK RETURN TO WORK  PACK,20.52,5.7,1,2W90796
2W99437,2WORK SMALL BSI FIRST AID KIT,37.99,15.5,1,2W99437
2W99438,2WORK MEDIUM BSI FIRST AID KIT,50.67,15.35,1,2W99438
